company,link,title
Cisco,/rc/clk?jk=b6dc4790e4ba3787&fccid=dfc44f3b8c44a6db,Data Scientist
Visa,/rc/clk?jk=d0e6d9088c04feae&fccid=a3f737e511d9fc8c,"Vice President, Predictive Modeling"
Pinterest,/rc/clk?jk=b1c85853744407b2&fccid=43014b1412e0a7b6,Data Scientist
Cardinal Hire,/company/Cardinal-Hire/jobs/Data-Scientist-2613171e7878c414?fccid=5be3d851f35c451d,Data Scientist
Lyft Corporate,/rc/clk?jk=927dd9b38258ed93&fccid=55a8b1573b083bec,Data Scientist (All Levels)
SiriusXM,/rc/clk?jk=a3fbee0a704931b3&fccid=b5fc75bedf8760d1,Junior Data Scientist - Automatic Labs
Eventbrite,/rc/clk?jk=1d233270204e629e&fccid=28dd3b780624bbf1,Data Scientist - Data Insights
Wittaff,/company/WITTAFF-Inc./jobs/Data-Scientist-e9a5ee3fcbe45d05?fccid=e3358fdbb9369a5b,Data Scientist
eero,/rc/clk?jk=210ed7a3fc784cff&fccid=8780743e496c163a,R&D Data Scientist
Google,/rc/clk?jk=2f67f4db111518b2&fccid=a5b4499d9e91a5c6,"Data Scientist, Global Patents"
